DES,VEU,CFD,SMART
DES,SGM,CFD,SMART
DES,IJP,CFD,SMART
DES,RWC,CFD,SMART
DES,VTS,CFD,SMART
DES,ABC,CFD,SMART
DES,UPD,CFD,SMART
DES,IVV,CFD,SMART
DES,1316,CFD,SMART
DES,IJH,CFD,SMART
DES,IEU,CFD,SMART
DES,1910,CFD,SMART
DES,INM,CFD,SMART
DES,NWS,CFD,SMART
DES,RMD,CFD,SMART
DES,TL0,CFD,SMART
DES,WPY,CFD,SMART
DES,RIGN,CFD,SMART
DES,SHP,CFD,SMART
DES,TWR,CFD,SMART
DES,REC,CFD,SMART
DES,RTHM,CFD,SMART
DES,CCL,CFD,SMART
DES,FB2A,CFD,SMART
DES,NPK,CFD,SMART
DES,VIRT,CFD,SMART
DES,MYI,CFD,SMART
DES,PPLT,CFD,SMART
DES,GUNR,CFD,SMART
DES,TPX,CFD,SMART
DES,PF,CFD,SMART
DES,IO,CFD,SMART
DES,RGNX,CFD,SMART
DES,R,CFD,SMART
DES,SOXX,CFD,SMART
DES,ETR,CFD,SMART
DES,APAM,CFD,SMART
DES,ACBI,CFD,SMART
DES,BANR,CFD,SMART
DES,IPHS,CFD,SMART
DES,ZS,CFD,SMART
DES,TXN,CFD,SMART
DES,CXW,CFD,SMART
DES,HLIT,CFD,SMART
DES,ARMK,CFD,SMART
DES,OSIS,CFD,SMART
DES,MTDR,CFD,SMART
DES,IGE,CFD,SMART
DES,KEM,CFD,SMART
DES,TLRD,CFD,SMART
DES,TRMB,CFD,SMART
DES,IWC,CFD,SMART
DES,LGF A,CFD,SMART
DES,SHEN,CFD,SMART
DES,HIFR,CFD,SMART
DES,COMT,CFD,SMART
DES,IFF,CFD,SMART
DES,NBHC,CFD,SMART
DES,GIS,CFD,SMART
DES,AAL,CFD,SMART
DES,LTXB,CFD,SMART
DES,CREE,CFD,SMART
DES,SCVL,CFD,SMART
DES,WHD,CFD,SMART
DES,FDS,CFD,SMART
DES,HEFA,CFD,SMART
DES,DRNA,CFD,SMART
DES,EDV,CFD,SMART
DES,KSS,CFD,SMART
DES,BGG,CFD,SMART
DES,UHAL,CFD,SMART
DES,CBT,CFD,SMART
DES,CTAS,CFD,SMART
DES,NLY,CFD,SMART
DES,SPXU,CFD,SMART
DES,FDD,CFD,SMART
DES,TRNO,CFD,SMART
DES,EA,CFD,SMART
DES,QRTEA,CFD,SMART
DES,FXO,CFD,SMART
DES,SFNC,CFD,SMART
DES,MRK,CFD,SMART
DES,FXH,CFD,SMART
DES,PHK,CFD,SMART
DES,HDV,CFD,SMART
DES,CIM,CFD,SMART
DES,BGS,CFD,SMART
DES,HGV,CFD,SMART
DES,SFBS,CFD,SMART
DES,AXL,CFD,SMART
